idx	label	sentence1	sentence2	lexical-semantics	predicate-argument-structure	logic	knowledge
205	not_entailment	Bees are more energy-efficient flyers than airplanes.	Bees do not follow the same rules as airplanes.				Common sense
206	entailment	Leslie Dixon is married to fellow screenwriter and producer Tom Ropelewski.	Tom Ropelewski is married to fellow screenwriter and producer Leslie Dixon.	Symmetry/Collectivity	Core args		
207	entailment	Tom Ropelewski is married to fellow screenwriter and producer Leslie Dixon.	Leslie Dixon is married to fellow screenwriter and producer Tom Ropelewski.	Symmetry/Collectivity	Core args		
208	entailment	This means that solving analogy questions with vector arithmetic is mathematically equivalent to seeking a word that is similar to x and y but is different from z.	This means that seeking a word that is similar to x and y but is different from z is mathematically equivalent to solving analogy questions with vector arithmetic.	Symmetry/Collectivity	Core args		
209	entailment	This means that seeking a word that is similar to x and y but is different from z is mathematically equivalent to solving analogy questions with vector arithmetic.	This means that solving analogy questions with vector arithmetic is mathematically equivalent to seeking a word that is similar to x and y but is different from z.	Symmetry/Collectivity	Core args		
210	entailment	Bob married Alice.	Bob and Alice got married.	Symmetry/Collectivity	Core args		
211	entailment	Bob and Alice got married.	Bob married Alice.	Symmetry/Collectivity	Core args		
212	entailment	Tulsi Gabbard disagrees with Bernie Sanders on what is the best way to deal with Bashar al-Assad.	Tulsi Gabbard and Bernie Sanders disagree on what is the best way to deal with Bashar al-Assad.	Symmetry/Collectivity	Core args		
213	entailment	Tulsi Gabbard and Bernie Sanders disagree on what is the best way to deal with Bashar al-Assad.	Tulsi Gabbard disagrees with Bernie Sanders on what is the best way to deal with Bashar al-Assad.	Symmetry/Collectivity	Core args		
214	entailment	It reminds me of the times I played Super Mario with my little brother.	It reminds me of the times my little brother and I played Super Mario.	Symmetry/Collectivity	Core args		
215	entailment	It reminds me of the times my little brother and I played Super Mario.	It reminds me of the times I played Super Mario with my little brother.	Symmetry/Collectivity	Core args		
216	entailment	"In this PC game, Shredder fights the turtles in his Manhattan hideout."	"In this PC game, Shredder and the turtles fight in his Manhattan hideout."	Symmetry/Collectivity	Core args		
217	entailment	"In this PC game, Shredder and the turtles fight in his Manhattan hideout."	"In this PC game, Shredder fights the turtles in his Manhattan hideout."	Symmetry/Collectivity	Core args		
218	entailment	"If their vectors' cosine similarity is high, we can conclude that ""cat"" is similar to ""dog""."	"If their vectors' cosine similarity is high, we can conclude that ""cat"" and ""dog"" are similar."	Symmetry/Collectivity	Core args		
219	entailment	"If their vectors' cosine similarity is high, we can conclude that ""cat"" and ""dog"" are similar."	"If their vectors' cosine similarity is high, we can conclude that ""cat"" is similar to ""dog""."	Symmetry/Collectivity	Core args		
220	entailment	Jane had a party on Sunday.	"On Sunday, Jane had a party."		Prepositional phrases		
221	entailment	"On Sunday, Jane had a party."	Jane had a party on Sunday.		Prepositional phrases		
222	entailment	"For decades, the FBI has been trusted to investigate corruption inside the government."	The FBI has been trusted to investigate corruption inside the government for decades.		Prepositional phrases		
223	entailment	The FBI has been trusted to investigate corruption inside the government for decades.	"For decades, the FBI has been trusted to investigate corruption inside the government."		Prepositional phrases		
224	entailment	"I was driving through my neighborhood a few weeks ago, and there was a lady holding a child's hand, standing on the side of the road talking to someone parked in a car."	"A few weeks ago, I was driving through my neighborhood, and there was a lady holding a child's hand, standing on the side of the road talking to someone parked in a car."		Prepositional phrases		
225	entailment	"A few weeks ago, I was driving through my neighborhood, and there was a lady holding a child's hand, standing on the side of the road talking to someone parked in a car."	"I was driving through my neighborhood a few weeks ago, and there was a lady holding a child's hand, standing on the side of the road talking to someone parked in a car."		Prepositional phrases		
226	entailment	Bass River timber was used in construction of the Empire State Building.	"In construction of the Empire State Building, Bass River timber was used."		Prepositional phrases		
227	entailment	"In construction of the Empire State Building, Bass River timber was used."	Bass River timber was used in construction of the Empire State Building.		Prepositional phrases		
228	entailment	"In this paper, we present an approach to acquire trivial physical knowledge from unstructured natural language text."	We present in this paper an approach to acquire trivial physical knowledge from unstructured natural language text.		Prepositional phrases		
229	entailment	We present in this paper an approach to acquire trivial physical knowledge from unstructured natural language text.	"In this paper, we present an approach to acquire trivial physical knowledge from unstructured natural language text."		Prepositional phrases		
230	not_entailment	"In this paper, we present an approach to acquire trivial physical knowledge from unstructured natural language text."	We present an approach to acquire trivial physical knowledge from the unstructured natural language text of this paper.		Prepositional phrases		
231	not_entailment	We present an approach to acquire trivial physical knowledge from the unstructured natural language text of this paper.	"In this paper, we present an approach to acquire trivial physical knowledge from unstructured natural language text."		Prepositional phrases		
232	entailment	I ate pizza with friends.	I ate pizza.		Prepositional phrases		
233	entailment	I ate pizza.	I ate pizza with friends.		Prepositional phrases		
234	not_entailment	I ate pizza with some friends.	I ate some friends.		Prepositional phrases		
235	not_entailment	I ate some friends.	I ate pizza with some friends.		Prepositional phrases		
236	entailment	I ate pizza with olives.	I ate pizza.		Prepositional phrases		
237	not_entailment	I ate pizza.	I ate pizza with olives.		Prepositional phrases		
238	entailment	I ate pizza with olives.	I ate olives.		Prepositional phrases		
239	not_entailment	I ate olives.	I ate pizza with olives.		Prepositional phrases		
240	entailment	Mueller received a mandate to investigate possible collusion with Russia.	Mueller received a mandate to investigate possible collusion.		Prepositional phrases		
241	not_entailment	Mueller received a mandate to investigate possible collusion.	Mueller received a mandate to investigate possible collusion with Russia.		Prepositional phrases		
242	not_entailment	Mueller received a mandate to investigate possible collusion with Russia.	Mueller received a mandate to investigate with Russia.		Prepositional phrases		
243	not_entailment	Mueller received a mandate to investigate with Russia.	Mueller received a mandate to investigate possible collusion with Russia.		Prepositional phrases		
244	entailment	Mueller received a mandate to investigate possible collusion with vast resources.	Mueller received a mandate to investigate possible collusion.		Prepositional phrases		
245	not_entailment	Mueller received a mandate to investigate possible collusion.	Mueller received a mandate to investigate possible collusion with vast resources.		Prepositional phrases		
246	entailment	Mueller received a mandate to investigate possible collusion with vast resources.	Mueller received a mandate to investigate with vast resources.		Prepositional phrases		
247	not_entailment	Mueller received a mandate to investigate with vast resources.	Mueller received a mandate to investigate possible collusion with vast resources.		Prepositional phrases		
248	entailment	They should be attached to the lifting mechanism in the faucet.	They should be attached to the lifting mechanism.		Prepositional phrases		
249	not_entailment	They should be attached to the lifting mechanism.	They should be attached to the lifting mechanism in the faucet.		Prepositional phrases		
250	entailment	They should be attached to the lifting mechanism in the faucet.	They should be attached in the faucet.		Prepositional phrases		
251	not_entailment	They should be attached in the faucet.	They should be attached to the lifting mechanism in the faucet.		Prepositional phrases		
252	entailment	They should be attached to the lifting mechanism in an unbreakable knot.	They should be attached to the lifting mechanism.		Prepositional phrases		
253	not_entailment	They should be attached to the lifting mechanism.	They should be attached to the lifting mechanism in an unbreakable knot.		Prepositional phrases		
254	entailment	They should be attached to the lifting mechanism in an unbreakable knot.	They should be attached in an unbreakable knot.		Prepositional phrases		
255	not_entailment	They should be attached in an unbreakable knot.	They should be attached to the lifting mechanism in an unbreakable knot.		Prepositional phrases		
256	entailment	"Tanks were developed by Britain and France, and were first used in combat by the British during a battle with only partial success."	"Tanks were developed by Britain and France, and were first used with only partial success."		Prepositional phrases		
257	not_entailment	"Tanks were developed by Britain and France, and were first used with only partial success."	"Tanks were developed by Britain and France, and were first used in combat by the British during a battle with only partial success."		Prepositional phrases		
258	entailment	"Tanks were developed by Britain and France, and were first used in combat by the British during a battle with only partial success."	"Tanks were developed by Britain and France, and were first used in combat by the British during a battle."		Prepositional phrases		
259	not_entailment	"Tanks were developed by Britain and France, and were first used in combat by the British during a battle."	"Tanks were developed by Britain and France, and were first used in combat by the British during a battle with only partial success."		Prepositional phrases		
260	entailment	"Tanks were developed by Britain and France, and were first used in combat by the British during a battle with German forces."	"Tanks were developed by Britain and France, and were first used with German forces."		Prepositional phrases		
261	not_entailment	"Tanks were developed by Britain and France, and were first used with German forces."	"Tanks were developed by Britain and France, and were first used in combat by the British during a battle with German forces."		Prepositional phrases		
262	entailment	"Tanks were developed by Britain and France, and were first used in combat by the British during a battle with German forces."	"Tanks were developed by Britain and France, and were first used in combat by the British during a battle."		Prepositional phrases		
263	not_entailment	"Tanks were developed by Britain and France, and were first used in combat by the British during a battle."	"Tanks were developed by Britain and France, and were first used in combat by the British during a battle with German forces."		Prepositional phrases		
264	entailment	We propose models of the probability distribution from which the attested vowel inventories have been drawn.	We propose models of the probability distribution.		Prepositional phrases		
265	not_entailment	We propose models of the probability distribution.	We propose models of the probability distribution from which the attested vowel inventories have been drawn.		Prepositional phrases		
266	not_entailment	We propose models of the probability distribution from which the attested vowel inventories have been drawn.	We propose models from which the attested vowel inventories have been drawn.		Prepositional phrases		
267	not_entailment	We propose models from which the attested vowel inventories have been drawn.	We propose models of the probability distribution from which the attested vowel inventories have been drawn.		Prepositional phrases		
268	entailment	We propose models of the probability distribution from a restricted space of linear functions.	We propose models of the probability distribution.		Prepositional phrases		
269	not_entailment	We propose models of the probability distribution.	We propose models of the probability distribution from a restricted space of linear functions.		Prepositional phrases		
270	entailment	We propose models of the probability distribution from a restricted space of linear functions.	We propose models from a restricted space of linear functions.		Prepositional phrases		
271	not_entailment	We propose models from a restricted space of linear functions.	We propose models of the probability distribution from a restricted space of linear functions.		Prepositional phrases		
272	entailment	"George went to the lake to catch a fish, but he fell into the water."	George fell into the water.		Anaphora/Coreference		
273	not_entailment	George fell into the water.	"George went to the lake to catch a fish, but he fell into the water."		Anaphora/Coreference		
274	not_entailment	"George went to the lake to catch a fish, but he fell into the water."	A fish fell into the water.		Anaphora/Coreference		
275	not_entailment	A fish fell into the water.	"George went to the lake to catch a fish, but he fell into the water."		Anaphora/Coreference		
276	entailment	"The Republican party almost universally opposed that bill in 2009, which cost $787 billion over 10 years, on the grounds that it would increase the debt too much."	That bill would increase the debt too much.		Anaphora/Coreference		
277	not_entailment	That bill would increase the debt too much.	"The Republican party almost universally opposed that bill in 2009, which cost $787 billion over 10 years, on the grounds that it would increase the debt too much."		Anaphora/Coreference		
278	not_entailment	"The Republican party almost universally opposed that bill in 2009, which cost $787 billion over 10 years, on the grounds that it would increase the debt too much."	The Republican party would increase the debt too much.		Anaphora/Coreference		
279	not_entailment	The Republican party would increase the debt too much.	"The Republican party almost universally opposed that bill in 2009, which cost $787 billion over 10 years, on the grounds that it would increase the debt too much."		Anaphora/Coreference		
280	entailment	"The climbing beans choked the corn, and the squash grew so big that it overshadowed several adjacent rows of beans."	The squash overshadowed several adjacent rows of beans.		Anaphora/Coreference		
281	not_entailment	The squash overshadowed several adjacent rows of beans.	"The climbing beans choked the corn, and the squash grew so big that it overshadowed several adjacent rows of beans."		Anaphora/Coreference		
282	not_entailment	"The climbing beans choked the corn, and the squash grew so big that it overshadowed several adjacent rows of beans."	The corn overshadowed several adjacent rows of beans.		Anaphora/Coreference		
283	not_entailment	The corn overshadowed several adjacent rows of beans.	"The climbing beans choked the corn, and the squash grew so big that it overshadowed several adjacent rows of beans."		Anaphora/Coreference		
284	entailment	"Because Britain still maintained control of Canada's foreign affairs under the Confederation Act, its declaration of war in 1914 automatically brought Canada into World War I."	Britain's declaration of war in 1914 automatically brought Canada into World War I.		Anaphora/Coreference		
285	not_entailment	Britain's declaration of war in 1914 automatically brought Canada into World War I.	"Because Britain still maintained control of Canada's foreign affairs under the Confederation Act, its declaration of war in 1914 automatically brought Canada into World War I."		Anaphora/Coreference		
286	not_entailment	"Because Britain still maintained control of Canada's foreign affairs under the Confederation Act, its declaration of war in 1914 automatically brought Canada into World War I."	Canada's declaration of war in 1914 automatically brought Canada into World War I.		Anaphora/Coreference		
287	not_entailment	Canada's declaration of war in 1914 automatically brought Canada into World War I.	"Because Britain still maintained control of Canada's foreign affairs under the Confederation Act, its declaration of war in 1914 automatically brought Canada into World War I."		Anaphora/Coreference		
288	not_entailment	"We show that if coreference resolvers mainly rely on lexical features, they can hardly generalize to unseen domains."	Coreference resolvers can hardly generalize to unseen domains.		Anaphora/Coreference		
289	not_entailment	Coreference resolvers can hardly generalize to unseen domains.	"We show that if coreference resolvers mainly rely on lexical features, they can hardly generalize to unseen domains."		Anaphora/Coreference		
290	not_entailment	"We show that if coreference resolvers mainly rely on lexical features, they can hardly generalize to unseen domains."	Lexical features can hardly generalize to unseen domains.		Anaphora/Coreference		
291	not_entailment	Lexical features can hardly generalize to unseen domains.	"We show that if coreference resolvers mainly rely on lexical features, they can hardly generalize to unseen domains."		Anaphora/Coreference		
292	entailment	The sides came to an agreement after their meeting in Stockholm.	The sides came to an agreement after their meeting in Sweden.	Named entities			World knowledge
293	not_entailment	The sides came to an agreement after their meeting in Sweden.	The sides came to an agreement after their meeting in Stockholm.	Named entities			World knowledge
294	entailment	The sides came to an agreement after their meeting in Stockholm.	The sides came to an agreement after their meeting in Europe.	Named entities			World knowledge
295	not_entailment	The sides came to an agreement after their meeting in Europe.	The sides came to an agreement after their meeting in Stockholm.	Named entities			World knowledge
296	not_entailment	The sides came to an agreement after their meeting in Stockholm.	The sides came to an agreement after their meeting in Oslo.	Named entities			World knowledge
297	not_entailment	The sides came to an agreement after their meeting in Oslo.	The sides came to an agreement after their meeting in Stockholm.	Named entities			World knowledge
298	entailment	Musk decided to offer up his personal Tesla roadster.	Musk decided to offer up his personal car.	Named entities			World knowledge
299	not_entailment	Musk decided to offer up his personal car.	Musk decided to offer up his personal Tesla roadster.	Named entities			World knowledge
300	not_entailment	Musk decided to offer up his personal Tesla roadster.	Musk decided to offer up his personal yacht.	Named entities			World knowledge
301	not_entailment	Musk decided to offer up his personal yacht.	Musk decided to offer up his personal Tesla roadster.	Named entities			World knowledge
302	entailment	TIL David Attenborough and Queen Elizabeth II are roughly the same age.	TIL David Attenborough and the Queen of England are roughly the same age.	Named entities			World knowledge
303	entailment	TIL David Attenborough and the Queen of England are roughly the same age.	TIL David Attenborough and Queen Elizabeth II are roughly the same age.	Named entities			World knowledge
304	not_entailment	TIL David Attenborough and Queen Elizabeth II are roughly the same age.	TIL David Attenborough and the Queen of Denmark are roughly the same age.	Named entities			World knowledge
305	not_entailment	TIL David Attenborough and the Queen of Denmark are roughly the same age.	TIL David Attenborough and Queen Elizabeth II are roughly the same age.	Named entities			World knowledge
306	entailment	"The Sydney area has been inhabited by indigenous Australians for at least 30,000 years."	"The Sydney area has been inhabited by Aboriginal people for at least 30,000 years."	Named entities			World knowledge
307	entailment	"The Sydney area has been inhabited by Aboriginal people for at least 30,000 years."	"The Sydney area has been inhabited by indigenous Australians for at least 30,000 years."	Named entities			World knowledge
308	not_entailment	"The Sydney area has been inhabited by indigenous Australians for at least 30,000 years."	"The Sydney area has been inhabited by Europeans for at least 30,000 years."	Named entities			World knowledge
309	not_entailment	"The Sydney area has been inhabited by Europeans for at least 30,000 years."	"The Sydney area has been inhabited by indigenous Australians for at least 30,000 years."	Named entities			World knowledge
310	entailment	Deep neural networks have achieved impressive performance in supervised classification and structured prediction tasks.	Deep learning has achieved impressive performance in supervised classification and structured prediction tasks.	Named entities			World knowledge
311	entailment	Deep learning has achieved impressive performance in supervised classification and structured prediction tasks.	Deep neural networks have achieved impressive performance in supervised classification and structured prediction tasks.	Named entities			World knowledge
312	not_entailment	Deep neural networks have achieved impressive performance in supervised classification and structured prediction tasks.	Decision trees have achieved impressive performance in supervised classification and structured prediction tasks.	Named entities			World knowledge
313	not_entailment	Decision trees have achieved impressive performance in supervised classification and structured prediction tasks.	Deep neural networks have achieved impressive performance in supervised classification and structured prediction tasks.	Named entities			World knowledge
314	entailment	Dave jumped into the lake.	Dave was wet.				Common sense
315	not_entailment	Dave was wet.	Dave jumped into the lake.				Common sense
316	not_entailment	Dave jumped into the lake.	Dave was hungry.				Common sense
317	not_entailment	Dave was hungry.	Dave jumped into the lake.				Common sense
318	entailment	"Even if the Senate is able to pass a bill, it’s far from certain that the House will move ahead with i"	The House might kill the bill anyway.				Common sense
319	not_entailment	The House might kill the bill anyway.	"Even if the Senate is able to pass a bill, it’s far from certain that the House will move ahead with i"				Common sense
320	not_entailment	"Even if the Senate is able to pass a bill, it’s far from certain that the House will move ahead with i"	The House will pass the bill.				Common sense
321	not_entailment	The House will pass the bill.	"Even if the Senate is able to pass a bill, it’s far from certain that the House will move ahead with i"				Common sense
322	entailment	"During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing ""Hyponotize"" at full volume, which prompted the public to dance and sing along."	Notorious B.I.G. passed away.				Common sense
323	not_entailment	Notorious B.I.G. passed away.	"During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing ""Hyponotize"" at full volume, which prompted the public to dance and sing along."				Common sense
324	not_entailment	"During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing ""Hyponotize"" at full volume, which prompted the public to dance and sing along."	Notorious B.I.G. hosted his funeral.				Common sense
325	not_entailment	Notorious B.I.G. hosted his funeral.	"During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing ""Hyponotize"" at full volume, which prompted the public to dance and sing along."				Common sense
326	entailment	"During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing ""Hyponotize"" at full volume, which prompted the public to dance and sing along."	"During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, there was a somber atmosphere part of the time."				Common sense
327	not_entailment	"During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, there was a somber atmosphere part of the time."	"During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing ""Hyponotize"" at full volume, which prompted the public to dance and sing along."				Common sense
328	entailment	"During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing ""Hyponotize"" at full volume, which prompted the public to dance and sing along."	Notorious B.I.G.'s funeral procession was attended by the general public.				Common sense
329	not_entailment	Notorious B.I.G.'s funeral procession was attended by the general public.	"During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing ""Hyponotize"" at full volume, which prompted the public to dance and sing along."				Common sense
330	not_entailment	"During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing ""Hyponotize"" at full volume, which prompted the public to dance and sing along."	Only members of the public attended B.I.G.'s funeral procession was restricted to an exclusive club of associates.				Common sense
331	not_entailment	Only members of the public attended B.I.G.'s funeral procession was restricted to an exclusive club of associates.	"During Notorious B.I.G.'s funeral procession through the streets of Brooklyn, someone interrupted the somber atmosphere by playing ""Hyponotize"" at full volume, which prompted the public to dance and sing along."				Common sense
332	entailment	"The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor."	Poor Irish people could not get food because it was too expensive.				Common sense
333	not_entailment	Poor Irish people could not get food because it was too expensive.	"The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor."				Common sense
334	entailment	"The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor."	The poor in Ireland starved.				Common sense
335	not_entailment	The poor in Ireland starved.	"The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor."				Common sense
336	not_entailment	"The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor."	The poor in Ireland had plentiful food.				Common sense
337	not_entailment	The poor in Ireland had plentiful food.	"The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor."				Common sense
338	entailment	"The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor."	The problem in Ireland was the price of food.		Core args;Anaphora/Coreference		
339	not_entailment	The problem in Ireland was the price of food.	"The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor."		Core args;Anaphora/Coreference		
340	not_entailment	"The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor."	The problem in Ireland was lack of food.			Negation	
341	not_entailment	The problem in Ireland was lack of food.	"The problem in Ireland was not lack of food, which was plentiful, but the price of it, which was beyond the reach of the poor."			Negation	
342	entailment	This dataset is two orders of magnitude larger than all other existing resources.	Every other existing resource is smaller than this dataset.				Common sense
343	not_entailment	Every other existing resource is smaller than this dataset.	This dataset is two orders of magnitude larger than all other existing resources.				Common sense
344	entailment	This dataset is two orders of magnitude larger than all other existing resources.	This dataset is very big.				Common sense
345	not_entailment	This dataset is very big.	This dataset is two orders of magnitude larger than all other existing resources.				Common sense
346	entailment	"I have failed my resolutions every year since 1997, and it's now 2008."	I failed my resolutions in 2004.			Intervals/Numbers	
347	not_entailment	I failed my resolutions in 2004.	"I have failed my resolutions every year since 1997, and it's now 2008."			Intervals/Numbers	
348	not_entailment	"I have failed my resolutions every year since 1997, and it's now 2008."	I failed my resolutions in 1995.			Intervals/Numbers	
349	not_entailment	I failed my resolutions in 1995.	"I have failed my resolutions every year since 1997, and it's now 2008."			Intervals/Numbers	
350	not_entailment	"I have failed my resolutions every year since 1997, and it's now 2008."	I did not fail my resolutions in 2004.			Intervals/Numbers	
351	not_entailment	I did not fail my resolutions in 2004.	"I have failed my resolutions every year since 1997, and it's now 2008."			Intervals/Numbers	
352	not_entailment	"I have failed my resolutions every year since 1997, and it's now 2008."	I did not fail my resolutions in 1995.			Intervals/Numbers	
353	not_entailment	I did not fail my resolutions in 1995.	"I have failed my resolutions every year since 1997, and it's now 2008."			Intervals/Numbers	
354	entailment	Both doctor and patient bear some responsibility for successful care.	The doctor bears some responsibility for successful care.			Conjunction	
355	not_entailment	The doctor bears some responsibility for successful care.	Both doctor and patient bear some responsibility for successful care.			Conjunction	
356	not_entailment	Both doctor and patient bear some responsibility for successful care.	The doctor does not bear responsibility for successful care.			Conjunction;Negation	
357	not_entailment	The doctor does not bear responsibility for successful care.	Both doctor and patient bear some responsibility for successful care.			Conjunction;Negation	
358	entailment	Both doctor and patient bear some responsibility for successful care.	The patient bears some responsibility for successful care.			Conjunction	
359	not_entailment	The patient bears some responsibility for successful care.	Both doctor and patient bear some responsibility for successful care.			Conjunction	
360	not_entailment	Both doctor and patient bear some responsibility for successful care.	The patient does not bear responsibility for successful care.			Conjunction;Negation	
361	not_entailment	The patient does not bear responsibility for successful care.	Both doctor and patient bear some responsibility for successful care.			Conjunction;Negation	
362	not_entailment	Both doctor and patient bear some responsibility for successful care.	The attorney bears some responsibility for successful care.			Conjunction	
363	not_entailment	The attorney bears some responsibility for successful care.	Both doctor and patient bear some responsibility for successful care.			Conjunction	
364	not_entailment	Both doctor and patient bear some responsibility for successful care.	The attorney does not bear responsibility for successful care.			Conjunction;Negation	
365	not_entailment	The attorney does not bear responsibility for successful care.	Both doctor and patient bear some responsibility for successful care.			Conjunction;Negation	
366	not_entailment	Either he has a blind trust or he has a conflict of interest.	He has a conflict of interest.			Disjunction	
367	entailment	He has a conflict of interest.	Either he has a blind trust or he has a conflict of interest.			Disjunction	
368	not_entailment	Either he has a blind trust or he has a conflict of interest.	He does not have a conflict of interest.			Disjunction;Negation	
369	not_entailment	He does not have a conflict of interest.	Either he has a blind trust or he has a conflict of interest.			Disjunction;Negation	
370	not_entailment	Either he has a blind trust or he has a conflict of interest.	He has a blind trust.			Disjunction	
371	entailment	He has a blind trust.	Either he has a blind trust or he has a conflict of interest.			Disjunction	
372	not_entailment	Either he has a blind trust or he has a conflict of interest.	He does not have a blind trust.			Disjunction;Negation	
373	entailment	He does not have a blind trust.	Either he has a blind trust or he has a conflict of interest.			Disjunction;Negation	
374	entailment	Everyone has a set of principles to live by.	Someone has a set of principles to live by.	Quantifiers		Universal	
375	not_entailment	Someone has a set of principles to live by.	Everyone has a set of principles to live by.	Quantifiers		Universal	
376	not_entailment	Everyone has a set of principles to live by.	No one has a set of principles to live by.	Quantifiers		Universal	
377	not_entailment	No one has a set of principles to live by.	Everyone has a set of principles to live by.	Quantifiers		Universal	
378	not_entailment	Everyone has a set of principles to live by.	Susan doesn't have a set of principles to live by.	Quantifiers		Universal	
379	not_entailment	Susan doesn't have a set of principles to live by.	Everyone has a set of principles to live by.	Quantifiers		Universal	
380	entailment	Susan knows how turtles reproduce.	Someone knows how turtles reproduce.	Quantifiers		Existential	
381	not_entailment	Someone knows how turtles reproduce.	Susan knows how turtles reproduce.	Quantifiers		Existential	
382	not_entailment	Susan knows how turtles reproduce.	No one knows how turtles reproduce.	Quantifiers		Existential	
383	not_entailment	No one knows how turtles reproduce.	Susan knows how turtles reproduce.	Quantifiers		Existential	
384	not_entailment	Susan knows how turtles reproduce.	Cedric doesn't know how turtles reproduce.	Quantifiers		Existential	
385	not_entailment	Cedric doesn't know how turtles reproduce.	Susan knows how turtles reproduce.	Quantifiers		Existential	
386	entailment	"Either there is no bathroom in this house, or it is in a funny place."	"If there is a bathroom in this house, it is in a funny place."			Disjunction;Conditionals;Negation	
387	entailment	"If there is a bathroom in this house, it is in a funny place."	"Either there is no bathroom in this house, or it is in a funny place."			Disjunction;Conditionals;Negation	
388	not_entailment	"Either there is no bathroom in this house, or it is in a funny place."	The bathroom in this house is in a funny place.		Anaphora/Coreference	Disjunction;Conditionals;Negation	
389	entailment	The bathroom in this house is in a funny place.	"Either there is no bathroom in this house, or it is in a funny place."		Anaphora/Coreference	Disjunction;Conditionals;Negation	
390	not_entailment	Joan believes that all speech is political speech.	All speech is political speech.	Factivity			
391	not_entailment	All speech is political speech.	Joan believes that all speech is political speech.	Factivity			
392	not_entailment	Joan doubts that all speech is political speech.	All speech is political speech.	Factivity			
393	not_entailment	All speech is political speech.	Joan doubts that all speech is political speech.	Factivity			
394	entailment	Joan knows that all speech is political speech.	All speech is political speech.	Factivity			
395	not_entailment	All speech is political speech.	Joan knows that all speech is political speech.	Factivity			
396	not_entailment	Joan knows that all speech is political speech.	No speech is political speech.	Factivity;Quantifiers			
397	not_entailment	No speech is political speech.	Joan knows that all speech is political speech.	Factivity;Quantifiers			
398	not_entailment	Grisham hoped to win the popular vote.	Grisham won the popular vote.	Factivity			
399	not_entailment	Grisham won the popular vote.	Grisham hoped to win the popular vote.	Factivity			
400	not_entailment	Grisham hoped to win the popular vote.	Grisham did not win the popular vote.	Factivity		Negation	
401	not_entailment	Grisham did not win the popular vote.	Grisham hoped to win the popular vote.	Factivity		Negation	
402	entailment	Jacob saw Tex sign the contract.	Tex signed the contract.	Factivity			
403	not_entailment	Tex signed the contract.	Jacob saw Tex sign the contract.	Factivity			
404	not_entailment	Jacob did not see Tex sign the contract.	Tex signed the contract.	Factivity			
405	not_entailment	Tex signed the contract.	Jacob did not see Tex sign the contract.	Factivity			
406	not_entailment	Grisham tried to win the popular vote.	Grisham won the popular vote.	Factivity			
407	not_entailment	Grisham won the popular vote.	Grisham tried to win the popular vote.	Factivity			
408	not_entailment	Grisham tried to win the popular vote.	Grisham did not win the popular vote.	Factivity		Negation	
409	not_entailment	Grisham did not win the popular vote.	Grisham tried to win the popular vote.	Factivity		Negation	
410	not_entailment	Grisham almost won the popular vote.	Grisham won the popular vote.	Factivity			
411	not_entailment	Grisham won the popular vote.	Grisham almost won the popular vote.	Factivity			
412	entailment	Grisham barely won the popular vote.	Grisham won the popular vote.	Factivity			
413	not_entailment	Grisham won the popular vote.	Grisham barely won the popular vote.	Factivity			
414	entailment	Grisham almost won the popular vote.	Grisham did not win the popular vote.	Factivity		Negation	
415	not_entailment	Grisham did not win the popular vote.	Grisham almost won the popular vote.	Factivity		Negation	
416	not_entailment	Grisham barely won the popular vote.	Grisham did not win the popular vote.	Factivity		Negation	
417	not_entailment	Grisham did not win the popular vote.	Grisham barely won the popular vote.	Factivity		Negation	
418	not_entailment	She has three questions.	She had three questions.			Temporal	
419	not_entailment	She had three questions.	She has three questions.			Temporal	
420	entailment	Mary left before John entered.	John entered after Mary left.			Temporal	
421	entailment	John entered after Mary left.	Mary left before John entered.			Temporal	
422	not_entailment	Mary left before John entered.	John entered before Mary left.			Temporal	
